Actor 1,Actor 1 type,Creation of the Action,Action,Action Nature,Location,Date,Impact of the action,Actor 2,Actor 2 type,Issue,Value/Weight/Significance,Source
The actor which has just performed an action,Describe the nature of Actor 1,Use a verb to describe what actor 1 is doing to actor 2,What is the action,Describe the nature of the action,Where is actor 1 based,When was this action performed?,Use a verb to describe what actor 1 is doing to actor 2,Who was the action primarily aimed at,Describe the nature of Actor 2,What issue does this action tackle?,What is the importance of this action? Financial value/percentage taxation or otherwise?,Reference
DEFRA,Government,Provide,Citizen Food Waste Prevention Grant,Funding,London,30/01/2020,Awarded To,SMEs,Business,Household food waste,£500000,https://www.gov.uk/government/news/over-1m-to-fund-food-waste-fight
DEFRA,Government,Provide,Citizen Food Waste Prevention Grant,Funding,London,30/01/2020,Awarded To,NFPOs,Business,Household food waste,£500000,https://www.gov.uk/government/news/over-1m-to-fund-food-waste-fight
DEFRA,Government,Provide,Value from Food Waste fund,Funding,London,30/01/2020,Awarded To,Collaborative Projects,Business,Food waste,£650000,https://www.gov.uk/government/news/over-1m-to-fund-food-waste-fight
DEFRA,Government,Provide,Food Waste Reduction fund,Funding,London, 11/7/1905,Awarded To,Charities,Public benefit,Food waste,£15 million,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/765914/resources-waste-strategy-dec-2018.pdf 
DEFRA,Government,Provide,Food Waste Reduction fund,Funding,London, 11/7/1905,Awarded To,NFPOs,Public benefit,Food waste,£15 million,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/765914/resources-waste-strategy-dec-2018.pdf 
WRAP,Charity,Introduce,Food Waste Roadmap,Guidelines,London, 11/7/1905,Advising,Businesses,Business,Food waste,Giving businesses directions on cutting waste,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/765914/resources-waste-strategy-dec-2018.pdf 
DEFRA,Government,Launched,Food surplus and waste hierarchy,Guidelines,London,18/12/2018,advising,Producers,Business,Surplus food redistribution, support redistribution of surplus food,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/765914/resources-waste-strategy-dec-2018.pdf 
DEFRA,Government,launched,Public procurement of food and catering ,Toolkit,London,21/04/2014,advising,Buyers,Business,Hospitality and food service food waste,"Support demand for sustainable, locally sourced,
nutritious and palatable food",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/765914/resources-waste-strategy-dec-2018.pdf 
DEFRA,Government,launched,Public procurement of food and catering ,Toolkit,London,21/04/2014,advising,Catering suppliers,Business,Hospitality and food service food waste,"Support demand for sustainable, locally sourced,
nutritious and palatable food",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/765914/resources-waste-strategy-dec-2018.pdf 
DEFRA,Government,Published,Food Labelling,Guidelines,London, 1/11/2017,Advising,Food industry,Business,Food waste crime,"food is
properly described, stored, used and
safely provided to consumers",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/765914/resources-waste-strategy-dec-2018.pdf 
FSA,Government,Published,Food Labelling,Guidelines,London, 1/11/2017,Advising,Food industry,Business,Food waste crime,"food is
properly described, stored, used and
safely provided to consumers",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/765914/resources-waste-strategy-dec-2018.pdf 
WRAP,Charity,Published,Food Labelling,Guidelines,London, 1/11/2017,Advising,Food industry,Business,Food waste crime,"food is
properly described, stored, used and
safely provided to consumers",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/765914/resources-waste-strategy-dec-2018.pdf 
Champions 12.3,Coalition,published,Target Measure Act approach,Guidelines,The Netherlands, 1/11/2019,advising,Countries,Nations,Food loss and waste ,strengthen food security and cost redution by integrating food waste reduction,https://www.unep.org/resources/report/unep-food-waste-index-report-2021 
Champions 12.3,Coalition,published,Target Measure Act approach,Guidelines,The Netherlands, 1/11/2019,advising,Companies,Business,Food loss and waste ,strengthen food security and cost redution by integrating food waste reduction,https://www.unep.org/resources/report/unep-food-waste-index-report-2021 
UNEP,Government,Invitation,"Regional Food Waste Working
Groups ",Convention,Kenya, 13/7/1905,forming working groups,Countries,Nations,Food waste,"Capacity building and training
to participating Member States in measuring food
waste",https://www.unep.org/resources/report/unep-food-waste-index-report-2021 
UNEP,Government,Measurement,National food waste measurement methodology,Study,Kenya,,Modelling and extrapolation,Countries,Nations,Food waste measurement,"enable policymakers to make key strategic
decisions to prevent food waste",https://www.unep.org/resources/report/unep-food-waste-index-report-2021 
United Nations General Assembly,Government,Deliberation,International Day of Awareness of Food Loss and Waste,Convention,Nairobi,29/07/2019,Awareness,Countries,Nations,Food loss and waste,recognising the fundamental role that sustainable food production plays in promoting food security and nutrition.,https://www.un.org/en/observances/end-food-waste-day/background 
FAO Director-General,government,Deliberation,Food loss and waste is a big challenge of our time,Convention,Nairobi,29/07/2020,Awareness,Countries,Nations,Food loss and waste,"promoting stronger partnerships, more public and private investments in training for smallholder farmers, technology and innovation",https://www.unep.org/news-and-stories/press-release/food-loss-and-waste-must-be-reduced-greater-food-security-and 
Executive Director of UNEP,government,Deliberation,Food loss and waste to be part of national climate strategies,Convention,Nairobi,29/07/2020,Awareness,Countries,Countries,Food loss and waste,"improve mitigation and adaptation from food systems by as much as 25 percent,",https://www.unep.org/news-and-stories/press-release/food-loss-and-waste-must-be-reduced-greater-food-security-and 
United Nations Secretary-General,government,Deliberation,Set reduction target and Measure food loss and waste ,Convention,Nairobi,29/07/2020,Awareness,Countries,Public benefit,Food loss and waste,"to stop ethical outrage by shopping carefully, storing food correctly, and using leftovers.",https://www.unep.org/news-and-stories/press-release/food-loss-and-waste-must-be-reduced-greater-food-security-and 
World Bank Vice President,intergovernmental,Deliberation,Strategies to reduce food loss and waste can deliver multiple benefits,Press release,Washington,28/07/2020,Awareness,Countries,Public benefit,Food loss and waste,"help countries improve the health of their people, economies and environment.",https://www.worldbank.org/en/news/press-release/2020/09/28/cutting-food-loss-and-waste-can-deliver-big-wins-for-countries-food-security-and-environment 
World Bank,InterGovernmental Organization,Results,food loss and waste challenges and opportunities,Study,Gautemala,28/07/2020,Policy recommendations,farmers,Community,Food loss,investments in storage systems at the farm or cooperative levels could greatly reduce losses and generate more sales from poor subsistence farmers and therefore higher incomes,https://www.worldbank.org/en/news/press-release/2020/09/28/cutting-food-loss-and-waste-can-deliver-big-wins-for-countries-food-security-and-environment 
World Bank,InterGovernmental Organization,Results,food loss and waste challenges and opportunities,Study,Rwanda,28/07/2020,Policy recommendations,farmers,Community,Crop loss,Improving weather and market information reaching farmers reduce food loss and waste,https://www.worldbank.org/en/news/press-release/2020/09/28/cutting-food-loss-and-waste-can-deliver-big-wins-for-countries-food-security-and-environment 
